Close,SMA14,SMA50,SMA14IND,SMA50IND,Bulls,CCI,DM,OSMA,RSI,Stoch,Decision
1.40837,1.41615,1.43740,-0.00139,-0.00082,-0.001,-19.95,0,0.0005,0,10,STRONGBUY
1.41324,1.41466,1.43654,-0.00149,-0.00086,0.002,60,0.1,0.001,0,10,SELL
1.41195,1.41353,1.43574,-0.00113,-0.00079,0.001,0,0,0,0,0,BUY
1.41426,1.41233,1.43496,-0.00120,-0.00078,0.0025,60,0.1,0.0005,10,10,WAIT
1.41144,1.41179,1.43427,-0.00054,-0.00069,-0.0015,-40,0,0.0005,-10,-10,STRONGBUY
1.41493,1.41115,1.43350,-0.00064,-0.00077,0.00315,120,0.1,0,10,-10,BUY
1.41363,1.41094,1.43279,-0.00020,-0.00071,-0.00265,-40,0.1,0,0,-10,STRONGBUY
1.41651,1.41097,1.43204,0.00003,-0.00074,0.0015,60,0.1,0.0005,0,10,SELL
1.41596,1.41142,1.43138,0.00045,-0.00066,-0.0005,-40,0,0,0,0,SELL
1.41911,1.41180,1.43071,0.00038,-0.00066,0.00171,40,0,0,10,20,STRONGSELL
1.41529,1.41258,1.43015,0.00078,-0.00057,0.00029,-100,0,0,-10,-10,SELL
1.41432,1.41285,1.42945,0.00027,-0.00070,-0.0035,-20,0.1,-0.0005,0,-10,STRONGSELL
1.41481,1.41359,1.42870,0.00074,-0.00075,0.0005,0,0,0,0,-30,STRONGSELL
1.414,1.41396,1.42790,0.00038,-0.00081,0.0015,-40,-0.1,-0.0005,0,-10,STRONGSELL
1.40907,1.41413,1.42717,0.00017,-0.00073,-0.002,-190,-0.1,-0.0005,-10,0,WAIT
1.4099,1.41418,1.42634,0.00005,-0.00083,-0.0035,70,0,-0.0005,0,-10,SELL
1.40539,1.41394,1.42545,-0.00024,-0.00089,0.0005,-70,-0.1,-0.0005,0,0,BUY
nan,1.41347,1.42447,-0.00047,-0.00097,0.0005,110,0,0,10,10,STRONGSELL
1.4077,1.41314,1.42366,-0.00033,-0.00082,0.0005,-20,0,0,-10,0,SELL
1.40764,1.41288,1.42287,-0.00027,-0.00079,0,20,-0.1,0,0,10,SELL
1.40636,1.41236,1.42200,-0.00052,-0.00087,-0.0005,0,0,0,0,0,SELL
1.40581,1.41184,1.42113,-0.00052,-0.00087,0,0,-0.1,0,0,10,SELL
1.40469,1.41107,1.42039,-0.00076,-0.00074,0.0015,0,0,0,0,-10,STRONGSELL
1.40375,1.41027,1.41963,-0.00081,-0.00076,-0.0025,-20,-0.1,0,0,0,SELL
1.40327,1.40917,1.41893,-0.00110,-0.00071,0.00025,0,0,0,0,0,STRONGSELL
1.40065,1.40831,1.41823,-0.00086,-0.00070,-0.00025,-40,0,0,0,0,STRONGSELL
1.40147,1.40733,1.41749,-0.00098,-0.00074,-0.00096,40,-0.1,0,0,10,STRONGSELL
1.40006,1.40638,1.41675,-0.00095,-0.00074,0.00346,-20,0.1,0,0,0,STRONGSELL
1.39724,1.40539,1.41603,-0.00100,-0.00071,-0.00125,-40,0,-0.0005,-10,-10,STRONGSELL
1.3976,1.40454,1.41521,-0.00084,-0.00083,nan,40,0,0,0,-10,SELL
1.39609,1.40366,1.41440,-0.00088,-0.00080,0.00099,0,0,0,0,-10,WAIT
1.39383,1.40300,1.41355,-0.00066,-0.00085,-0.00099,-20,0,0,0,10,SELL
1.39511,1.40187,1.41264,-0.00113,-0.00091,0.0005,40,0,0,0,0,STRONGSELL
1.39629,1.40097,1.41177,-0.00090,-0.00087,0.003,40,0.1,0.0005,10,10,STRONGSELL
1.39151,1.40016,1.41092,-0.00081,-0.00085,0,-60,0,0,-10,0,STRONGSELL
1.38803,1.39910,1.40996,-0.00106,-0.00096,-0.003,-40,-0.1,-0.0005,0,-10,WAIT
1.38611,1.39783,1.40910,-0.00127,-0.00086,-0.003,0,0,0,0,-20,STRONGBUY
1.38634,1.39650,1.40824,-0.00133,-0.00086,0.0015,40,0,0,0,0,STRONGBUY
1.38836,1.39526,1.40738,-0.00124,-0.00085,0.0015,40,0.1,0,0,10,STRONGBUY
1.3898,1.39419,1.40658,-0.00107,-0.00081,0.0025,39.95,0.1,0.0005,10,10,STRONGBUY
1.39222,1.39342,1.40594,-0.00077,-0.00064,0.002,40.05,0,0.0005,0,30,SELL
1.39161,1.39276,1.40537,-0.00066,-0.00056,-0.00075,0,-0.1,0.0005,0,20,BUY
1.39325,1.39215,1.40485,-0.00060,-0.00052,0.00125,40,0.1,0,10,10,WAIT
1.3909,1.39187,1.40445,-0.00029,-0.00040,0,-40,0.1,0.0005,-10,-10,STRONGBUY
1.39347,1.39139,1.40406,-0.00048,-0.00039,0,60,-0.1,0,10,10,STRONGBUY
1.39383,1.39120,1.40372,-0.00019,-0.00034,0.002,20,0.2,0.0005,0,-10,BUY
1.39517,1.39120,1.40343,0.00000,-0.00029,0,40,0,0,0,10,WAIT
1.39667,1.39121,1.40310,0.00000,-0.00033,0.00096,40,-0.1,0,10,0,WAIT
1.39671,1.39123,1.40296,0.00003,-0.00015,-0.00046,-40,0.1,0,0,10,BUY
1.39572,1.39161,1.40270,0.00037,-0.00026,0,-20,0.1,0,-10,-10,WAIT
1.39707,1.39215,1.40238,0.00055,-0.00032,-0.0005,20,0,0,10,0,STRONGSELL
1.39944,1.39294,1.40216,0.00078,-0.00023,0.0045,40,0.1,0,0,-10,STRONGSELL
1.39509,1.39387,1.40188,0.00094,-0.00028,-0.001,-120,-0.1,-0.0005,-10,-20,STRONGSELL
1.39054,1.39435,1.40154,0.00048,-0.00034,-0.00575,-160,-0.1,-0.0005,-10,-30,STRONGSELL
1.38912,1.39441,1.40107,0.00005,-0.00047,nan,-20,-0.1,-0.0005,0,-20,STRONGSELL
1.38881,1.39419,1.40062,-0.00022,-0.00045,-0.00025,20,0,-0.0005,0,0,STRONGSELL
1.38753,1.39399,1.40010,-0.00020,-0.00052,0.00025,0,-0.1,-0.0005,0,0,STRONGSELL
1.38491,1.39358,1.39958,-0.00041,-0.00052,0,-20,0,0,0,10,STRONGSELL
1.38051,1.39315,1.39895,-0.00043,-0.00063,-0.0015,-20,0,-0.0005,-10,-10,STRONGSELL
1.37562,1.39222,1.39824,-0.00093,-0.00071,-0.0025,-20,-0.1,-0.001,0,10,STRONGSELL
1.37273,1.39092,1.39737,-0.00130,-0.00087,-0.003,20,0,0,0,-10,STRONGSELL
1.37125,1.38932,1.39652,-0.00160,-0.00085,0,20,-0.1,-0.0005,-10,10,STRONGSELL
1.37166,1.38750,1.39565,-0.00182,-0.00086,-0.00275,40,0,0,10,0,STRONGSELL
1.36839,1.38571,1.39479,-0.00179,-0.00086,0.00475,0,0,0,-10,10,WAIT
1.36704,1.38376,1.39388,-0.00195,-0.00091,0.003,0,0,0.0005,0,0,STRONGSELL
1.35877,1.38162,1.39304,-0.00215,-0.00084,-0.003,-40,-0.1,-0.0005,0,-10,STRONGBUY
1.36776,1.37871,1.39202,-0.00290,-0.00102,0.0005,80,0,0.0005,20,10,BUY
1.36324,1.37676,1.39126,-0.00195,-0.00075,0.0005,-20,0,0.0005,-10,10,BUY
1.36288,1.37481,1.39033,-0.00195,-0.00093,-0.0005,0,0,0.0005,0,0,STRONGBUY
1.36933,1.37294,1.38944,-0.00187,-0.00090,0.007,60,0.2,0.001,10,10,STRONGSELL
1.36571,1.37154,1.38867,-0.00139,-0.00077,-0.0015,-20.05,0,0,0,10,BUY
1.36763,1.36999,1.38786,-0.00156,-0.00081,0.0025,40.05,0,0.00075,0,10,STRONGBUY
1.36552,1.36875,1.38710,-0.00123,-0.00076,-0.002,-40.05,0,0.00025,0,-10,STRONGBUY
1.36723,1.36768,1.38631,-0.00107,-0.00078,0,60.05,0.1,0.0005,0,-10,STRONGBUY
1.37238,1.36708,1.38558,-0.00060,-0.00073,0.004,120,0.1,0.0005,10,20,STRONGBUY
1.37141,1.36706,1.38496,-0.00002,-0.00062,0.0015,-20,0.1,0,0,10,STRONGBUY
1.37426,1.36707,1.38438,0.00001,-0.00058,0.002,60,0,0.0005,0,10,BUY
1.3775,1.36725,1.38384,0.00019,-0.00054,0.00625,0,0.1,0.0005,10,-10,WAIT
1.37938,1.36790,1.38338,0.00065,-0.00045,-0.00475,-20,0,0,0,0,WAIT
1.37658,1.36879,1.38303,0.00088,-0.00036,0,-60,0.2,0,0,-10,STRONGSELL
1.37686,1.37006,1.38261,0.00127,-0.00042,-0.0045,0,-0.1,0,0,0,STRONGSELL
1.37921,1.37071,1.38222,0.00065,-0.00038,0.003,20,0.1,0,0,-10,STRONGSELL
1.37349,1.37185,1.38193,0.00114,-0.00029,0.0005,-100,-0.1,-0.001,-10,-10,STRONGBUY
1.37321,1.37261,1.38150,0.00076,-0.00043,-0.005,0,-0.1,-0.0005,0,0,STRONGBUY
1.37337,1.37288,1.38104,0.00028,-0.00046,-0.0015,-20,0,-0.0005,0,-10,BUY
1.3783,1.37343,1.38067,0.00055,-0.00036,0.004,100,0,0,10,20,STRONGSELL
1.37758,1.37419,1.38048,0.00076,-0.00019,0.001,-40,0,0,0,10,STRONGSELL
1.37512,1.37505,1.38031,0.00086,-0.00017,-0.001,-60,0,0,-10,10,STRONGSELL
1.36521,1.37562,1.38008,0.00056,-0.00022,-0.003,-190,-0.2,-0.001,-10,-30,BUY
1.36773,1.37511,1.37962,-0.00051,-0.00046,-0.0055,50,-0.1,-0.0005,10,-10,WAIT
1.36885,1.37484,1.37918,-0.00026,-0.00044,0.0015,40,0,0,0,0,STRONGSELL
1.36641,1.37446,1.37871,-0.00039,-0.00047,0.0005,-20,-0.1,0,0,10,STRONGSELL
1.36813,1.37366,1.37821,-0.00079,-0.00050,0,60,0,0,0,0,STRONGSELL
1.35594,1.37286,1.37770,-0.00080,-0.00050,0.0015,-120,0,-0.001,-10,-10,STRONGBUY
1.36196,1.37139,1.37701,-0.00147,-0.00070,-0.0045,80,0,0,10,10,WAIT
1.36049,1.37032,1.37638,-0.00106,-0.00063,0.0025,0,-0.1,0,-10,-10,SELL
1.36309,1.36899,1.37571,-0.00134,-0.00067,0,40,0,0.0005,10,20,SELL
1.36128,1.36824,1.37507,-0.00074,-0.00064,0,0,0.1,0,0,0,SELL
1.35932,1.36739,1.37436,-0.00085,-0.00071,-0.0005,-20,-0.1,0.0005,-10,0,WAIT
1.36197,1.36639,1.37361,-0.00100,-0.00075,0.002,39.95,0,0,10,0,SELL
1.35935,1.36522,1.37294,-0.00117,-0.00067,0.0005,-19.95,-0.1,0.0005,0,0,BUY
1.35979,1.36392,1.37218,-0.00130,-0.00075,-0.0015,0,0.1,0,0,-10,STRONGBUY
1.35973,1.36282,1.37139,-0.00109,-0.00079,-0.0005,19.95,0,0,0,-10,STRONGBUY
1.36216,1.36243,1.37068,-0.00039,-0.00071,0.003,60.05,0.1,0.0005,0,10,STRONGBUY
1.36528,1.36203,1.37011,-0.00040,-0.00057,0.003,80,0.1,0.0005,0,30,STRONGBUY
1.36442,1.36178,1.36964,-0.00025,-0.00048,0.0015,0,0.1,0,0,0,STRONGBUY
1.36594,1.36164,1.36915,-0.00014,-0.00049,-0.00087,60,-0.1,0.0005,10,0,STRONGBUY
1.37637,1.36148,1.36872,-0.00016,-0.00043,0.00862,40,0.5,0.001,10,10,SELL
1.37587,1.36294,1.36855,0.00146,-0.00017,0,0,0,0.0005,0,0,SELL
1.37664,1.36393,1.36845,0.00099,-0.00009,nan,-40,0,0,0,10,STRONGSELL
1.37518,1.36509,1.36847,0.00115,0.00002,0,-40,-0.1,0,-10,-10,STRONGSELL
1.37288,1.36595,1.36852,0.00086,0.00005,0,-40,0,-0.0005,0,-10,STRONGSELL
1.36976,1.36678,1.36856,0.00083,0.00003,-0.005,-40,0,-0.0005,0,-20,STRONGSELL
1.3615,1.36752,1.36852,0.00075,-0.00004,-0.0025,-100,-0.2,-0.001,-10,-30,SELL
1.35993,1.36749,1.36838,-0.00003,-0.00014,-0.0075,-20,0,-0.001,-10,-20,SELL
1.35634,1.36753,1.36824,0.00004,-0.00014,0.001,-20,-0.1,-0.001,0,0,STRONGBUY
1.35918,1.36729,1.36819,-0.00025,-0.00005,-0.001,20,0,-0.0005,10,0,BUY
1.35815,1.36725,1.36802,-0.00004,-0.00017,0.001,0,0,0,-10,10,STRONGSELL
1.363,1.36696,1.36792,-0.00029,-0.00010,0.006,60,0,0,10,20,STRONGSELL
1.36162,1.36680,1.36792,-0.00016,0.00000,-0.001,-20.05,0,0.0005,0,20,STRONGSELL
1.34923,1.36660,1.36776,-0.00020,-0.00015,0.00025,-79.95,-0.1,-0.0005,-10,-10,WAIT
1.34846,1.36540,1.36743,-0.00119,-0.00033,-0.00975,0,-0.2,-0.0005,0,-20,BUY
1.34672,1.36341,1.36705,-0.00199,-0.00038,0.0005,0,0,0,0,-10,STRONGBUY
1.34933,1.36133,1.36668,-0.00208,-0.00038,0.00325,40,0.1,0,0,0,STRONGBUY
1.3506,1.35938,1.36632,-0.00195,-0.00036,0.00375,20,0,0.0005,0,10,STRONGBUY
1.35839,1.35762,1.36588,-0.00176,-0.00044,0.005,100,0.1,0.001,10,20,STRONGBUY
1.36116,1.35659,1.36562,-0.00104,-0.00026,0.0015,40,0,0.001,10,30,WAIT
1.3646,1.35597,1.36536,-0.00061,-0.00026,0.002,40,0.2,0.001,0,20,STRONGSELL
1.36192,1.35619,1.36510,0.00022,-0.00026,0,-40,0,0.0005,0,0,STRONGSELL
1.36064,1.35634,1.36475,0.00014,-0.00035,-0.002,-20,0,0,0,-10,WAIT
1.36082,1.35664,1.36443,0.00031,-0.00032,-0.0005,0,0,0,0,-20,WAIT
1.35873,1.35676,1.36411,0.00012,-0.00032,-0.0025,-20,0,0,-10,-10,STRONGBUY
1.35996,1.35680,1.36370,0.00004,-0.00041,0,20,0,-0.0005,0,-30,WAIT
1.36113,1.35658,1.36343,-0.00022,-0.00027,0,0,0,0,10,10,STRONGSELL
1.36251,1.35655,1.36319,-0.00004,-0.00024,0.00204,20,0.1,0,0,20,STRONGSELL
1.36003,1.35750,1.36297,0.00095,-0.00022,0.00546,-40,0.2,-0.0005,-10,-10,STRONGSELL
1.35617,1.35832,1.36261,0.00083,-0.00037,-0.008,-100,-0.2,-0.0005,0,-10,SELL
nan,1.35900,1.36218,0.00067,-0.00043,-0.002,-100,0,-0.0005,-10,-20,BUY
1.35136,1.35921,1.36172,0.00021,-0.00046,-0.00375,-20,-0.1,-0.0005,0,0,STRONGBUY
1.35395,1.35926,1.36145,0.00005,-0.00028,0.00275,80,0,0,10,0,BUY
1.35363,1.35895,1.36117,-0.00032,-0.00028,0,20,-0.1,0,0,10,WAIT
1.35557,1.35841,1.36087,-0.00054,-0.00030,0.0025,39.95,0,0,0,10,SELL
1.35681,1.35776,1.36065,-0.00065,-0.00022,0.0005,40.05,0,0.0005,0,30,STRONGSELL
1.35457,1.35740,1.36042,-0.00037,-0.00023,0.005,-40.05,0.1,0,0,0,STRONGSELL
1.35372,1.35697,1.36040,-0.00043,-0.00003,-0.0075,-19.95,0,0,0,-20,STRONGSELL
1.34813,1.35646,1.36023,-0.00051,-0.00016,0.001,-80,0,0,-10,-30,BUY
1.3473,1.35570,1.35998,-0.00076,-0.00025,-0.005,0,-0.1,-0.0005,0,0,STRONGBUY
1.34994,1.35480,1.35967,-0.00090,-0.00032,0.0035,60,0,0,10,0,STRONGBUY
1.3502,1.35400,1.35944,-0.00080,-0.00023,0,20,0,0,0,10,STRONGBUY
1.35659,1.35312,1.35926,-0.00088,-0.00018,0.005,160,0,0.0005,10,30,BUY
1.35383,1.35287,1.35915,-0.00025,-0.00011,0.00031,-60,0.1,0.0005,-10,20,STRONGBUY
1.35767,1.35271,1.35904,-0.00017,-0.00011,0.00169,80,0.1,0.0005,10,10,WAIT
1.35766,1.35309,1.35900,0.00038,-0.00004,0.0005,0,0,0.0005,0,0,STRONGBUY
1.3607,1.35354,1.35896,0.00045,-0.00004,0.0015,40,0,0,0,0,BUY
1.3584,1.35402,1.35893,0.00048,-0.00003,-0.0015,-60,0,0.0005,0,-10,BUY
1.36264,1.35436,1.35879,0.00034,-0.00014,0.00675,40,0,0,0,0,SELL
1.3631,1.35487,1.35875,0.00050,-0.00004,-0.00675,0,0,0,0,-10,STRONGSELL
1.36038,1.35532,1.35870,0.00045,-0.00006,0.0015,-60,0,0,0,-10,STRONGSELL
1.35971,1.35573,1.35838,0.00041,-0.00032,-0.00362,-20,0,-0.0005,0,-10,STRONGSELL
1.35941,1.35616,1.35805,0.00043,-0.00032,0.00362,0,0.1,-0.0005,0,-10,SELL
1.35114,1.35697,1.35771,0.00081,-0.00034,-0.0045,-160,-0.1,-0.0005,-10,-10,BUY
